## ハイテク農園に関する質問
1. Y'sアグリのモニタリング画面は一般のお客さんも見られますか？
2. リフト式栽培は通常の高設栽培と比べてコストはどうですか？
3. ICT管理型のイチゴ農園は全国にどのくらいありますか？
4. LEDの補光はイチゴの味や甘さに影響しますか？

## イチゴの価格・品種に関する質問
5. クリスマス前後とそれ以降で、イチゴの価格が変わるのはなぜですか？
6. 大衆向け品種とブランド品種、栽培コストの差はどのくらいですか？
7. 贈答用のイチゴを選ぶポイントは何ですか？
8. ケーキ用のイチゴはスーパーに並ぶイチゴとサイズが違うのですか？

## イチゴの科学に関する質問
9. 気孔が閉じるとイチゴの甘さにも影響がありますか？
10. 今年の寒波は全国的にイチゴの出荷に影響を与えていますか？

## リスナー参加型の質問
11. ハイテクなイチゴ狩りスポット、他にもおすすめがあれば教えてください
12. スーパーでイチゴの見方が変わった経験を教えてください

## 次回企画案
13. 全国ハイテクイチゴ狩りスポットマップ作成企画
14. 品種別イチゴ価格比較レポート
15. イチゴ狩りの楽しみ方10選（リスナー投稿を含む）
