# 想定質問集

## 基本的な疑問
- 「食品ロスって何？」
- 「食品廃棄物と食品ロスの違いは？」
- 「なぜ10月が食品ロス削減月間なの？」
- 「世界食糧デーって何？」
- 「日本の食品ロスはどれくらい？」

## 数字について
- 「365個って何の数字？」
- 「100円は何を表している？」
- 「6倍って何が6倍？」
- 「日本の食品ロス量は世界で何位？」
- 「一人当たり年間どれくらい捨てている？」

## 原因について
- 「なぜ食べられるものを捨てるの？」
- 「家庭と事業者、どちらのロスが多い？」
- 「賞味期限と消費期限の違いは？」
- 「規格外野菜はなぜ捨てられる？」
- 「外食産業のロスが多い理由は？」

## 文化的な疑問
- 「『もったいない』文化があるのになぜ？」
- 「他国と比べて日本の食品ロスは多い？」
- 「昔はもっと少なかった？」
- 「若い世代ほど食品ロスが多い？」
- 「地域差はある？」

## 影響について
- 「食品ロスで環境にどんな影響がある？」
- 「経済的損失はどれくらい？」
- 「CO2排出にどれくらい関係する？」
- 「水資源の無駄はどれくらい？」
- 「飢餓問題との関係は？」

## 実践的な質問
- 「今すぐできることは？」
- 「買い物で気をつけることは？」
- 「保存方法のコツは？」
- 「作りすぎを防ぐには？」
- 「外食での食べ残しを減らすには？」

## 制度・政策について
- 「食品ロス削減推進法って何？」
- 「企業の取り組みは？」
- 「フードバンクって何？」
- 「3分の1ルールとは？」
- 「海外の成功事例は？」

## 子ども向けの質問
- 「なぜ食べ物を大切にしないといけないの？」
- 「給食の残りはどうなるの？」
- 「家でできることは？」
- 「好き嫌いと食品ロスの関係は？」
- 「世界の子どもたちのことを考えると？」

## 技術的な解決策
- 「AIで食品ロスを減らせる？」
- 「アプリでの取り組みは？」
- 「保存技術の進歩は？」
- 「流通システムの改善は？」
- 「見た目を良くする技術は？」

## 将来について
- 「食品ロスはゼロにできる？」
- 「10年後はどうなっている？」
- 「次世代への教育は？」
- 「持続可能な社会とは？」
- 「私たちの役割は？」
